id,accuracy
origin_ave,0.1808832425892317
binary_ave,0.014519056261343012
origin_01,0.19298245614035087
binary_01,0.0
origin_02,0.15789473684210525
binary_02,0.0
origin_03,0.22807017543859648
binary_03,0.0
origin_04,0.12280701754385964
binary_04,0.0
origin_05,0.12280701754385964
binary_05,0.0
origin_06,0.19298245614035087
binary_06,0.03508771929824561
origin_07,0.08771929824561403
binary_07,0.0
origin_08,0.2982456140350877
binary_08,0.017543859649122806
origin_09,0.10526315789473684
binary_09,0.017543859649122806
origin_10,0.15789473684210525
binary_10,0.0
origin_11,0.17543859649122806
binary_11,0.017543859649122806
origin_12,0.21052631578947367
binary_12,0.017543859649122806
origin_13,0.2631578947368421
binary_13,0.05263157894736842
origin_14,0.15789473684210525
binary_14,0.0
origin_15,0.10526315789473684
binary_15,0.017543859649122806
origin_16,0.2631578947368421
binary_16,0.017543859649122806
origin_17,0.24561403508771928
binary_17,0.03508771929824561
origin_18,0.17543859649122806
binary_18,0.017543859649122806
origin_19,0.17543859649122806
binary_19,0.0
origin_20,0.08771929824561403
binary_20,0.017543859649122806
origin_21,0.21052631578947367
binary_21,0.017543859649122806
origin_22,0.10526315789473684
binary_22,0.0
origin_23,0.24561403508771928
binary_23,0.0
origin_24,0.10526315789473684
binary_24,0.017543859649122806
origin_25,0.3157894736842105
binary_25,0.0
origin_26,0.21052631578947367
binary_26,0.0
origin_27,0.08771929824561403
binary_27,0.03508771929824561
origin_28,0.14035087719298245
binary_28,0.07017543859649122
origin_29,0.2982456140350877
binary_29,0.017543859649122806
