,外向性,協調性,勤勉性,神経症傾向,開放性
0,1.666666666666666,1.0,1.333333333333334,5.333333333333334,1.333333333333333
1,1.0,0.3333333333333339,0.6666666666666661,4.0,1.666666666666666
2,0.33333333333333304,0.3333333333333339,4.666666666666666,2.666666666666666,2.0
3,1.666666666666667,7.0,8.0,1.0,0.0
4,2.666666666666667,4.666666666666666,2.0,7.666666666666666,7.666666666666667
5,7.666666666666666,5.333333333333334,7.333333333333334,5.0,7.0
6,7.666666666666667,4.333333333333334,0.6666666666666661,8.0,2.333333333333333
7,3.333333333333333,1.0,2.333333333333334,4.333333333333334,2.333333333333334
8,4.666666666666666,2.666666666666666,3.0,0.666666666666667,6.333333333333333
9,0.6666666666666661,0.0,0.3333333333333339,1.333333333333333,0.3333333333333339
10,2.0,0.0,1.0,0.0,2.0
11,4.333333333333333,0.6666666666666661,0.3333333333333339,7.666666666666666,3.0
12,3.0,2.666666666666667,2.0,1.0,5.0
13,5.333333333333334,1.666666666666666,2.666666666666667,3.666666666666667,1.666666666666666
14,1.0,2.0,5.666666666666667,2.333333333333334,5.0
15,2.666666666666667,1.0,2.333333333333334,6.666666666666666,1.666666666666667
16,0.666666666666667,2.0,2.0,3.666666666666666,1.333333333333333
17,1.0,2.333333333333334,2.333333333333333,0.3333333333333339,0.666666666666667
18,0.0,1.0,2.333333333333333,2.0,0.33333333333333304
19,1.666666666666667,7.333333333333334,2.666666666666667,1.666666666666666,2.666666666666667
20,0.33333333333333304,1.666666666666666,2.0,3.0,3.0
21,2.0,1.0,3.666666666666666,3.0,2.666666666666666
22,1.666666666666667,1.333333333333334,1.0,2.333333333333334,1.666666666666667
23,1.666666666666667,3.0,2.666666666666666,1.0,4.0
24,1.0,0.0,0.6666666666666661,0.0,2.0
25,2.333333333333333,2.0,1.0,2.0,2.0
26,0.0,1.0,3.333333333333334,0.6666666666666661,3.0
27,5.0,3.333333333333334,0.6666666666666661,3.333333333333334,3.333333333333333
28,0.6666666666666661,1.333333333333334,2.0,4.666666666666667,4.0
average,2.3333333333333335,2.137931034482759,2.436781609195402,3.06896551724138,2.7586206896551726
