id,correlation,pvalue
ave,0.46118329444013356,0.3777272821772611
01,0.9746794344808963,0.004818230468198565
02,0.9999999999999999,1.4042654220543608e-24
03,0.6668859288553503,0.21889398131323148
04,-0.10259783520851543,0.8695979205185651
05,-0.05129891760425771,0.934712848108234
06,-0.09999999999999999,0.8728885715695384
07,-0.7,0.1881204043741873
08,1.0,0.0
09,0.20519567041703085,0.7405819415910722
10,0.9999999999999999,1.4042654220543608e-24
11,0.35909242322980395,0.5528147466433508
12,0.30779350562554625,0.614384002810333
13,0.3,0.623837664781073
14,-0.10526315789473685,0.8662227050936396
15,-0.3354101966249684,0.5810906728217107
16,0.2635231383473649,0.6683968370871738
17,0.7905694150420949,0.11136715471408383
18,0.7999999999999999,0.10408803866182788
19,0.7905694150420949,0.11136715471408383
20,0.5642880936468347,0.3217233358243003
21,0.6668859288553503,0.21889398131323148
22,0.9210526315789475,0.0263105196855779
23,0.9746794344808963,0.004818230468198565
24,0.7181848464596079,0.17179530490798894
25,0.8720815992723809,0.05385421772754213
26,0.7,0.1881204043741873
27,0.5526315789473686,0.33403471071151875
28,0.05129891760425771,0.934712848108234
29,0.2894736842105264,0.6366447547494906
