id,age,happiness,stories,sentences,total_words,content_words,sentence/story,word/sentence,word/story,max_interval,min_interval,mean_interval,story/age
01,37,34.411764705882355,17,34,965,466,2.0,13.705882352941176,27.41176470588235,5,1,1.7333333333333334,0.4594594594594595
02,59,64.73333333333333,15,26,1023,480,1.7333333333333334,18.46153846153846,32.0,21,1,3.8461538461538463,0.2542372881355932
03,44,25.466666666666665,15,45,1370,621,3.0,13.8,41.4,7,0,1.8461538461538463,0.3409090909090909
04,38,26.941176470588236,17,47,942,455,2.764705882352941,9.680851063829786,26.764705882352942,4,1,1.8666666666666667,0.4473684210526316
05,37,7.916666666666667,12,24,336,139,2.0,5.791666666666667,11.583333333333334,6,0,2.7,0.32432432432432434
06,33,32.733333333333334,15,32,851,409,2.1333333333333333,12.78125,27.266666666666666,3,0,1.1538461538461537,0.45454545454545453
07,39,9.0,15,60,1329,611,4.0,10.183333333333334,40.733333333333334,6,0,1.7692307692307692,0.38461538461538464
08,34,42.333333333333336,12,53,991,499,4.416666666666667,9.415094339622641,41.583333333333336,3,1,1.5,0.35294117647058826
09,21,16.714285714285715,14,50,853,377,3.5714285714285716,7.54,26.928571428571427,1,0,0.9166666666666666,0.6666666666666666
10,48,44.3125,16,42,554,253,2.625,6.023809523809524,15.8125,13,1,3.0,0.3333333333333333
11,49,22.0,15,38,691,315,2.533333333333333,8.289473684210526,21.0,5,1,2.5384615384615383,0.30612244897959184
12,44,-6.2,15,59,1668,698,3.933333333333333,11.830508474576272,46.53333333333333,6,0,1.8461538461538463,0.3409090909090909
13,43,2.142857142857143,7,40,1011,421,5.714285714285714,10.525,60.142857142857146,6,1,3.4,0.16279069767441862
14,35,0.625,16,58,1345,597,3.625,10.293103448275861,37.3125,3,1,1.3571428571428572,0.45714285714285713
15,52,23.41176470588235,17,51,1160,492,3.0,9.647058823529411,28.941176470588236,7,1,2.4,0.3269230769230769
16,38,-14.055555555555555,18,48,1184,509,2.6666666666666665,10.604166666666666,28.27777777777778,4,1,1.8125,0.47368421052631576
17,30,28.46153846153846,13,34,789,353,2.6153846153846154,10.382352941176471,27.153846153846153,3,1,1.4545454545454546,0.43333333333333335
18,50,18.9375,16,39,906,435,2.4375,11.153846153846153,27.1875,5,0,2.4285714285714284,0.32
19,26,-12.76923076923077,13,53,1047,494,4.076923076923077,9.320754716981131,38.0,4,1,1.8181818181818181,0.5
20,31,4.866666666666666,15,50,819,365,3.3333333333333335,7.3,24.333333333333332,3,0,1.0769230769230769,0.4838709677419355
21,44,5.0,17,74,1612,747,4.352941176470588,10.094594594594595,43.94117647058823,8,0,2.1333333333333333,0.38636363636363635
22,28,58.333333333333336,15,69,1682,779,4.6,11.289855072463768,51.93333333333333,1,0,0.7692307692307693,0.5357142857142857
23,51,27.571428571428573,21,75,1559,636,3.5714285714285716,8.48,30.285714285714285,5,0,2.210526315789474,0.4117647058823529
24,53,-3.933333333333333,15,49,969,457,3.2666666666666666,9.326530612244898,30.466666666666665,7,1,2.6153846153846154,0.2830188679245283
25,23,34.57142857142857,14,58,1224,542,4.142857142857143,9.344827586206897,38.714285714285715,3,0,1.1666666666666667,0.6086956521739131
26,53,7.133333333333334,15,55,798,368,3.6666666666666665,6.6909090909090905,24.533333333333335,7,0,3.230769230769231,0.2830188679245283
27,44,29.27777777777778,18,58,1133,524,3.2222222222222223,9.03448275862069,29.11111111111111,4,1,1.875,0.4090909090909091
28,38,49.21052631578947,19,64,1311,629,3.3684210526315788,9.828125,33.10526315789474,6,0,1.5294117647058822,0.5
29,40,30.4375,16,46,1193,507,2.875,11.021739130434783,31.6875,8,0,2.2142857142857144,0.4
